,Track_ID,Rank,Streams,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,003VDDA7J3Xb2ZFlNx7nIZ,132,7399,0.00419,https://api.spotify.com/v1/audio-analysis/003VDDA7J3Xb2ZFlNx7nIZ,0.842,236779,0.578,003VDDA7J3Xb2ZFlNx7nIZ,0.0,6,0.228,-6.05,0,0.138,74.496,4,https://api.spotify.com/v1/tracks/003VDDA7J3Xb2ZFlNx7nIZ,audio_features,spotify:track:003VDDA7J3Xb2ZFlNx7nIZ,0.19
1,00PesUdTmC3Y5xtZbZND0p,1553,63802,0.812,https://api.spotify.com/v1/audio-analysis/00PesUdTmC3Y5xtZbZND0p,0.451,177947,0.291,00PesUdTmC3Y5xtZbZND0p,0.0,10,0.0983,-11.764,0,0.036,81.326,4,https://api.spotify.com/v1/tracks/00PesUdTmC3Y5xtZbZND0p,audio_features,spotify:track:00PesUdTmC3Y5xtZbZND0p,0.158
2,00WSG2jWrgq8Ln8lVLEkOr,691,33072,0.35,https://api.spotify.com/v1/audio-analysis/00WSG2jWrgq8Ln8lVLEkOr,0.631,175400,0.585,00WSG2jWrgq8Ln8lVLEkOr,0.0,1,0.106,-8.617,0,0.0658,179.932,4,https://api.spotify.com/v1/tracks/00WSG2jWrgq8Ln8lVLEkOr,audio_features,spotify:track:00WSG2jWrgq8Ln8lVLEkOr,0.387
3,00XeFRxGrbMQoJPqVJSDjl,881,49122,0.115,https://api.spotify.com/v1/audio-analysis/00XeFRxGrbMQoJPqVJSDjl,0.775,152213,0.815,00XeFRxGrbMQoJPqVJSDjl,0.0,5,0.12,-3.495,0,0.243,96.988,4,https://api.spotify.com/v1/tracks/00XeFRxGrbMQoJPqVJSDjl,audio_features,spotify:track:00XeFRxGrbMQoJPqVJSDjl,0.538
4,012iHyRvQQquWQGUTYvDxy,701,66835,0.307,https://api.spotify.com/v1/audio-analysis/012iHyRvQQquWQGUTYvDxy,0.5,191827,0.743,012iHyRvQQquWQGUTYvDxy,2.68e-05,2,0.133,-6.648,1,0.0373,166.256,4,https://api.spotify.com/v1/tracks/012iHyRvQQquWQGUTYvDxy,audio_features,spotify:track:012iHyRvQQquWQGUTYvDxy,0.332
5,017PF4Q3l4DBUiWoXk4OWT,10604,2147996,0.167,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,0.73,221820,0.729,017PF4Q3l4DBUiWoXk4OWT,1.39e-06,4,0.349,-3.434,0,0.0883,113.013,4,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,audio_features,spotify:track:017PF4Q3l4DBUiWoXk4OWT,0.467
6,01I9AEz658sQnQzCL3K3QG,2106,281377,0.0455,https://api.spotify.com/v1/audio-analysis/01I9AEz658sQnQzCL3K3QG,0.73,130307,0.777,01I9AEz658sQnQzCL3K3QG,0.00106,1,0.0759,-6.375,0,0.29,177.865,4,https://api.spotify.com/v1/tracks/01I9AEz658sQnQzCL3K3QG,audio_features,spotify:track:01I9AEz658sQnQzCL3K3QG,0.578
7,01as9sNALk4rpqgqz9a0n3,235,18174,0.239,https://api.spotify.com/v1/audio-analysis/01as9sNALk4rpqgqz9a0n3,0.94,199834,0.787,01as9sNALk4rpqgqz9a0n3,0.0593,1,0.0625,-6.885,1,0.102,135.008,4,https://api.spotify.com/v1/tracks/01as9sNALk4rpqgqz9a0n3,audio_features,spotify:track:01as9sNALk4rpqgqz9a0n3,0.842
8,01qOl2pM8emx1sxdBQc05g,849,34855,0.357,https://api.spotify.com/v1/audio-analysis/01qOl2pM8emx1sxdBQc05g,0.709,199322,0.775,01qOl2pM8emx1sxdBQc05g,0.0,6,0.171,-4.028,0,0.102,159.965,4,https://api.spotify.com/v1/tracks/01qOl2pM8emx1sxdBQc05g,audio_features,spotify:track:01qOl2pM8emx1sxdBQc05g,0.477
9,01vXerMeFgboAgQZxUL2m9,856,45817,0.208,https://api.spotify.com/v1/audio-analysis/01vXerMeFgboAgQZxUL2m9,0.935,154824,0.371,01vXerMeFgboAgQZxUL2m9,1.37e-06,4,0.113,-11.875,0,0.609,130.09,4,https://api.spotify.com/v1/tracks/01vXerMeFgboAgQZxUL2m9,audio_features,spotify:track:01vXerMeFgboAgQZxUL2m9,0.525
