date,average_valence,date
2020-09-17,0.4902239991131466,2020-09-17
2020-09-16,0.4893890716173125,2020-09-16
2020-09-15,0.4870639130812443,2020-09-15
2020-09-14,0.47991596892005484,2020-09-14
2020-09-13,0.48943334156568696,2020-09-13
2020-09-12,0.49115363083429286,2020-09-12
2020-09-11,0.4683081684001296,2020-09-11
2020-09-10,0.5112547345373168,2020-09-10
2020-09-09,0.5175052154573383,2020-09-09
2020-09-08,0.5116749897277602,2020-09-08
2020-09-07,0.5088277700649839,2020-09-07
2020-09-06,0.5030629232153304,2020-09-06
2020-09-05,0.5247613846292626,2020-09-05
2020-09-04,0.5176383319879106,2020-09-04
2020-09-03,0.5222774451589607,2020-09-03
2020-09-02,0.525345147897481,2020-09-02
2020-09-01,0.5235534796874023,2020-09-01
2020-08-31,0.5223526535522514,2020-08-31
2020-08-30,0.5178214182843607,2020-08-30
2020-08-29,0.5247449391317871,2020-08-29
2020-08-28,0.5263261183139941,2020-08-28
2020-08-27,0.5154565059126553,2020-08-27
2020-08-26,0.5132456249510459,2020-08-26
2020-08-25,0.5089748016553416,2020-08-25
2020-08-24,0.5096570473397893,2020-08-24
2020-08-23,0.5112475295319888,2020-08-23
2020-08-22,0.5132331060287773,2020-08-22
2020-08-21,0.5233935276721857,2020-08-21
2020-08-20,0.5117334516317091,2020-08-20
2020-08-19,0.5075309385308272,2020-08-19
2020-08-18,0.5043328894953053,2020-08-18
2020-08-17,0.5062271400653019,2020-08-17
2020-08-16,0.5072597348416793,2020-08-16
2020-08-15,0.5164334215368883,2020-08-15
2020-08-14,0.5054702555493609,2020-08-14
2020-08-13,0.5064376226641073,2020-08-13
2020-08-12,0.5033216700324623,2020-08-12
2020-08-11,0.5030429697852373,2020-08-11
2020-08-10,0.5010905003637047,2020-08-10
2020-08-09,0.5113064879638238,2020-08-09
2020-08-08,0.515911754950356,2020-08-08
2020-08-07,0.5024969071146007,2020-08-07
2020-08-06,0.5076641144788158,2020-08-06
2020-08-05,0.5042059257887281,2020-08-05
2020-08-04,0.4984182623944278,2020-08-04
2020-08-03,0.49852052889158016,2020-08-03
2020-08-02,0.4891409879504705,2020-08-02
2020-08-01,0.5122675367885839,2020-08-01
2020-07-31,0.5031091020578389,2020-07-31
2020-07-30,0.5066071305734854,2020-07-30
2020-07-29,0.5069586745845684,2020-07-29
2020-07-28,0.5073887802991794,2020-07-28
2020-07-27,0.502774484281348,2020-07-27
2020-07-26,0.5036187624142088,2020-07-26
2020-07-25,0.5079402703164198,2020-07-25
2020-07-24,0.494791782963884,2020-07-24
2020-07-23,0.5141242731010874,2020-07-23
2020-07-22,0.5147021280288177,2020-07-22
2020-07-21,0.510992087715939,2020-07-21
2020-07-20,0.5082565941733642,2020-07-20
2020-07-19,0.5119551057950509,2020-07-19
2020-07-18,0.5138425318480336,2020-07-18
2020-07-17,0.5059561060453425,2020-07-17
2020-07-16,0.5040504338965441,2020-07-16
2020-07-15,0.50268006146642,2020-07-15
2020-07-14,0.5017321795066241,2020-07-14
2020-07-13,0.5004682673398932,2020-07-13
2020-07-12,0.5040054153916175,2020-07-12
2020-07-11,0.5001112030553787,2020-07-11
2020-07-10,0.49730657722465715,2020-07-10
2020-07-09,0.5048440986729938,2020-07-09
2020-07-08,0.5017504142264826,2020-07-08
2020-07-07,0.49872250213016234,2020-07-07
2020-07-06,0.4973400212856876,2020-07-06
2020-07-05,0.5060061120090357,2020-07-05
2020-07-04,0.5076470674591059,2020-07-04
2020-07-03,0.4961465500455581,2020-07-03
2020-07-02,0.5234251057621967,2020-07-02
2020-07-01,0.5242820385374789,2020-07-01
2020-06-30,0.525871949134237,2020-06-30
2020-06-29,0.521770472161894,2020-06-29
2020-06-28,0.5205838148406582,2020-06-28
2020-06-27,0.533269673477702,2020-06-27
2020-06-26,0.5189243888317326,2020-06-26
2020-06-25,0.5190179156910272,2020-06-25
2020-06-24,0.5148528255071558,2020-06-24
2020-06-23,0.5138176695291296,2020-06-23
2020-06-22,0.5089746647150124,2020-06-22
2020-06-21,0.5114938563157254,2020-06-21
2020-06-20,0.515143411191354,2020-06-20
2020-06-19,0.5088973538563022,2020-06-19
2020-06-18,0.5135706150698639,2020-06-18
2020-06-17,0.5112018016646518,2020-06-17
2020-06-16,0.5125878972406195,2020-06-16
